Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Carlos Rodón*,31,SP,1.9,16,9,0.64,3.96,32,32,0,0,0,0,175,157,81,77,31,57,0,195,10,2,3,736,104,4.39,1.223,8.1,1.6,2.9,10,3.42,,rodonca01
2,Nestor Cortes*,29,SP,2.6,9,10,0.474,3.77,31,30,1,0,0,0,174.1,162,74,73,24,39,0,162,4,1,2,710,109,3.84,1.153,8.4,1.2,2,8.4,4.15,,cortene01
3,Marcus Stroman,33,SP,0.7,10,9,0.526,4.31,30,29,1,0,0,1,154.2,167,81,74,19,60,0,113,8,0,2,675,95,4.62,1.468,9.7,1.1,3.5,6.6,1.88,,stromma01
4,Luis Gil,26,SP,3.1,15,7,0.682,3.5,29,29,0,0,0,0,151.2,104,60,59,18,77,0,171,8,2,6,637,117,4.14,1.193,6.2,1.1,4.6,10.1,2.22,ROY-1,gillu01
5,Gerrit Cole,33,SP,2,8,5,0.615,3.41,17,17,0,0,0,0,95,78,38,36,11,29,1,99,6,0,0,390,121,3.69,1.126,7.4,1,2.7,9.4,3.41,,colege01
6,Clarke Schmidt,28,SP,2,5,5,0.5,2.85,16,16,0,0,0,0,85.1,71,31,27,8,30,0,93,9,0,2,353,145,3.58,1.184,7.5,0.8,3.2,9.8,3.1,,schmicl01
7,Clay Holmes,31,CL,0.7,3,5,0.375,3.14,67,0,50,0,0,30,63,60,29,22,4,22,1,68,3,0,4,271,131,3.02,1.302,8.6,0.6,3.1,9.7,3.09,AS,holmecl01
8,Luke Weaver,30,RP,1.9,7,3,0.7,2.89,62,0,12,0,0,4,84,52,28,27,10,26,0,103,4,0,1,331,142,3.33,0.929,5.6,1.1,2.8,11,3.96,,weavelu01
9,Michael Tonkin,34,RP,0.6,3,2,0.6,3.38,39,0,15,0,0,2,56,44,26,21,5,21,1,57,3,1,3,232,122,3.58,1.161,7.1,0.8,3.4,9.2,2.71,,tonkimi01
10,Tommy Kahnle,34,RP,0.8,0,2,0,2.11,50,0,8,0,0,1,42.2,30,16,10,5,19,1,46,2,0,1,179,196,4.01,1.148,6.3,1.1,4,9.7,2.42,,kahnlto01
11,Caleb Ferguson*,27,RP,-0.6,1,3,0.25,5.13,42,0,12,0,0,1,33.1,34,24,19,5,16,1,41,2,0,2,155,81,4.28,1.5,9.2,1.4,4.3,11.1,2.56,,ferguca01
12,Tim Hill*,34,,0.9,3,0,1,2.05,35,0,6,0,0,0,44,36,13,10,2,9,1,18,1,0,0,173,202,3.62,1.023,7.4,0.4,1.8,3.7,2,,hillti01
13,Jake Cousins,29,,0.7,2,1,0.667,2.37,37,0,6,0,0,1,38,20,14,10,5,20,1,53,5,0,4,155,175,4.06,1.053,4.7,1.2,4.7,12.6,2.65,,cousija01
14,Ian Hamilton,29,,0.5,0,1,0,3.82,35,0,5,0,0,1,37.2,37,17,16,2,14,0,41,3,0,0,163,108,3.03,1.354,8.8,0.5,3.3,9.8,2.93,,hamilia01
15,Dennis Santana,28,,-0.4,2,0,1,6.26,23,0,7,0,0,2,27.1,27,19,19,2,10,0,19,1,2,1,115,66,3.93,1.354,8.9,0.7,3.3,6.3,1.9,,santade01
16,Cody Poteet,29,,0.9,3,0,1,2.22,5,4,0,0,0,0,24.1,18,7,6,2,8,0,16,1,0,1,96,188,4.03,1.068,6.7,0.7,3,5.9,2,,poteeco01
17,Victor González*,28,,0.1,2,1,0.667,3.86,27,0,8,0,0,2,23.1,13,12,10,3,13,0,11,3,0,0,97,108,5.95,1.114,5,1.2,5,4.2,0.85,,gonzavi02
18,Ron Marinaccio,28,,0.2,1,0,1,3.86,16,0,4,0,0,0,23.1,18,11,10,4,10,0,25,3,1,0,99,108,4.92,1.2,6.9,1.5,3.9,9.6,2.5,,marinro01
19,Will Warren,25,,-1.2,0,3,0,10.32,6,5,1,0,0,0,22.2,33,27,26,5,10,0,29,1,2,0,110,40,4.93,1.897,13.1,2,4,11.5,2.9,,warrewi01
